Time_Stamp,Open,High,Low,Close,Volume,TR0,TR1,TR2,TR,ATR,Upper_Bound,Lower_Bound,Final_Upper_Bound,Final_Lower_Bound,Super_Trend,Buy_Sell
6/11/2021 11:30,151.2521,151.32,151.15,151.32,30621,0.17,0.1966,0.3666,0.37,0.173376579,151.76,150.71,151.76,151.08,151.08,BUY
6/11/2021 11:25,151.23,151.3006,151.2,151.25,25949,0.1006,0.0194,0.12,0.12,0.169563966,151.76,150.74,151.76,151.08,151.08,BUY
6/11/2021 11:20,151.36,151.37,151.22,151.23,28741,0.15,0.12,0.03,0.15,0.16816654,151.8,150.79,151.76,151.08,151.08,BUY
6/11/2021 11:15,151.44,151.44,151.32,151.34,23422,0.12,0.21,0.09,0.21,0.171154644,151.89,150.87,151.76,151.08,151.08,BUY
6/11/2021 11:10,151.33,151.48,151.32,151.42,29548,0.16,0.14,0.02,0.16,0.170357884,151.91,150.89,151.76,151.08,151.08,BUY
6/11/2021 11:05,151.67,151.69,151.29,151.315,48370,0.4,0.27,0.13,0.4,0.186760892,152.05,150.93,151.76,151.08,151.08,BUY
6/11/2021 11:00,151.76,151.845,151.67,151.7,53944,0.175,0.53,0.355,0.53,0.211277971,152.39,151.12,151.76,151.12,151.12,BUY
6/11/2021 10:55,151.585,151.81,151.5493,151.75,88758,0.2607,0.11,0.1507,0.26,0.214758116,152.32,151.04,151.76,151.12,151.12,BUY
6/11/2021 10:50,151.4457,151.665,151.44,151.585,64410,0.225,0.085,0.31,0.31,0.221561108,152.22,150.89,151.76,151.12,151.12,BUY
6/11/2021 10:45,151.17,151.49,151.1466,151.4399,80871,0.3434,0.095,0.4384,0.44,0.237163886,152.03,150.61,151.76,151.12,151.12,BUY
6/11/2021 10:40,150.935,151.19,150.92,151.15,74539,0.27,0.2499,0.5199,0.52,0.257366466,151.83,150.28,151.76,151.12,151.12,BUY
6/11/2021 10:35,150.76,150.93,150.75,150.93,42149,0.18,0.22,0.4,0.4,0.267554575,151.64,150.04,151.64,151.12,151.64,SELL
6/11/2021 10:30,150.96,150.99,150.72,150.76,43667,0.27,0.06,0.21,0.27,0.267729248,151.66,150.05,151.64,150.05,151.64,SELL
6/11/2021 10:25,150.87,150.98,150.79,150.97,41628,0.19,0.22,0.03,0.22,0.264320016,151.68,150.09,151.64,150.09,151.64,SELL
6/11/2021 10:20,150.95,151.08,150.84,150.86,37475,0.24,0.11,0.13,0.24,0.262582872,151.75,150.17,151.64,150.17,151.64,SELL
6/11/2021 10:15,151.28,151.3432,150.82,150.915,41581,0.5232,0.4832,0.04,0.52,0.28096981,151.92,150.24,151.64,150.24,151.64,SELL
6/11/2021 10:10,151.065,151.392,151.065,151.29,45544,0.327,0.477,0.15,0.48,0.295186252,152.11,150.34,151.64,150.34,151.64,SELL
6/11/2021 10:05,150.83,151.0698,150.78,151.065,58358,0.2898,0.2202,0.51,0.51,0.310530091,151.86,149.99,151.64,150.34,151.64,SELL
6/11/2021 10:00,150.62,150.805,150.57,150.805,53163,0.235,0.26,0.495,0.5,0.324063656,151.66,149.72,151.64,150.34,151.64,SELL
6/11/2021 9:55,150.61,150.75,150.57,150.635,46317,0.18,0.055,0.235,0.24,0.318059109,151.61,149.71,151.61,150.34,151.61,SELL
6/11/2021 9:50,151.11,151.18,150.61,150.62,70635,0.57,0.545,0.025,0.57,0.336054887,151.9,149.89,151.61,150.34,151.61,SELL
6/11/2021 9:45,150.78,151.14,150.62,151.14,64356,0.52,0.52,0,0.52,0.349193824,151.93,149.83,151.61,150.34,151.61,SELL
6/11/2021 9:40,150.9,151.1007,150.66,150.72,58846,0.4407,0.0393,0.48,0.48,0.358537122,151.96,149.8,151.61,150.34,151.61,SELL
6/11/2021 9:35,150.43,151.0599,150.37,150.9,335763,0.6899,0.3399,0.35,0.69,0.382213042,151.86,149.57,151.61,150.34,151.61,SELL
6/11/2021 9:30,150.22,150.22,150.22,150.22,385,0,0.68,0.68,0.68,0.403483539,151.43,149.01,151.43,150.34,151.43,SELL
6/11/2021 9:10,150.2,150.2,150.2,150.2,126,0,0.02,0.02,0.02,0.376091858,151.33,149.07,151.33,149.07,151.33,SELL
6/11/2021 9:00,149.85,149.85,149.8,149.8,500,0.05,0.35,0.4,0.4,0.377799582,150.96,148.69,150.96,149.07,150.96,SELL
6/11/2021 8:55,149.78,149.78,149.78,149.78,210,0,0.02,0.02,0.02,0.352242469,150.84,148.72,150.84,149.07,150.84,SELL
6/11/2021 8:50,149.7989,149.7989,149.7989,149.7989,118,0,0.0189,0.0189,0.02,0.328510864,150.78,148.81,150.78,149.07,150.78,SELL
6/11/2021 8:45,150,150.1,150,150.1,1095,0.1,0.3011,0.2011,0.3,0.326474374,151.03,149.07,150.78,149.07,150.78,SELL
6/11/2021 8:40,150.17,150.17,150.15,150.15,1494,0.02,0.07,0.05,0.07,0.308154776,151.08,149.24,150.78,149.24,150.78,SELL
6/11/2021 8:35,150.51,150.51,150.5,150.5,1051,0.01,0.36,0.35,0.36,0.311858006,151.44,149.57,150.78,149.57,150.78,SELL
6/11/2021 8:05,151.05,151.05,151,151,256,0.05,0.55,0.5,0.55,0.328868148,152.01,150.04,150.78,150.04,150.04,BUY
6/11/2021 7:45,150.9,150.9,150.9,150.9,687,0,0.1,0.1,0.1,0.312520424,151.84,149.96,151.84,150.04,150.04,BUY
6/11/2021 7:05,150.75,150.75,150.75,150.75,997,0,0.15,0.15,0.15,0.300911822,151.65,149.85,151.65,150.04,150.04,BUY
